movie_name,movie_id,production_companies_clean,production_budget
Conceiving Ada,96484,[],0
Eaten Alive,30062,['Mars Production Corporation'],520000
Raining Stones,62463,"['Channel Four Films', 'Parallax Pictures']",0
"To Sir, with Love",25934,['Columbia British Productions'],640000
With Byrd at the South Pole,101383,['Paramount'],0
Boiler Room,14181,['New Line Cinema'],26000000
Hanging Up,10385,"['Laurence Mark Productions', 'Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG', 'Nora Ephron Productions']",40000000
Pitch Black,2787,['Interscope Communications'],23000000
The Whole Nine Yards,2069,"['Franchise Pictures', 'Warner Bros.', 'Morgan Creek Productions', 'Nine Yards Productions', 'Rational Packaging Company', 'Lansdown Films']",41300000
Beautiful People,61416,"['Arts Council of England', 'British Film Institute (BFI)', 'British Screen Productions']",0
Black Tar Heroin: The Dark End of the Street,79515,[],0
Blue Collar,14839,"['Universal Pictures', 'TAT Communications Company']",0
Bluebeard,42186,['Producers Releasing Corporation (PRC)'],0
The Circus,28978,['Charles Chaplin Productions'],9000000
City Lights,901,['Charles Chaplin Productions'],1500000
The Flamingo Kid,25010,"['Twentieth Century Fox Film Corporation', 'American Broadcasting Company (ABC)', 'Edgewood Productions', 'Mercury Productions']",0
A Dog's Life,36208,['First National Pictures'],0
The Kid,10098,"['Charles Chaplin Productions', 'First National Pictures']",250000
The Man from Laramie,18264,"['Columbia Pictures Corporation', 'William Goetz Productions']",0
The Wild McCullochs,291861,[],0
Class Reunion,33374,['ABC Motion Pictures'],0
The Big Trees,43368,['Warner Bros.'],0
Happy Go Lovely,127602,['Marcel Hellman Productions'],0
Reindeer Games,2155,"['Dimension Films', 'Marty Katz Productions']",42000000
Wonder Boys,11004,"['Paramount Pictures', 'Scott Rudin Productions', 'Toho-Towa', 'Mutual Film Company', 'British Broadcasting Corporation (BBC)', 'Marubeni', 'Curtis Hanson Productions', 'MFF Feature Film Productions']",35000000
Deterrence,25212,"['Battleplan Productions', 'TF1 International', 'Moonstone Entertainment']",0
Judy Berlin,36048,[],0
Mifune,139,['Nimbus Film Productions'],0
The Waiting Game,210307,[],0
3 Strikes,47816,[],6000000
Chain of Fools,20682,['Bel Air Entertainment'],20000000
Drowning Mona,25166,"['Code Entertainment', 'Neverland Films']",16000000
The Next Best Thing,1831,"['Paramount Pictures', 'Lakeshore Entertainment']",25000000
What Planet Are You From?,10416,['Columbia Pictures'],60000000
Beyond the Mat,14271,"['Imagine Entertainment', 'Universal Pictures', 'Lionsgate']",2053648
Ghost Dog: The Way of the Samurai,4816,"['Bac Films', 'Pandora Filmproduktion', 'Degeto Film', 'ARD', 'JVC Entertainment Networks', 'Canal+', 'Plywood Productions']",0
The Year My Voice Broke,19958,['Kennedy Miller'],0
Splendor in the Grass,28569,"['Warner Bros.', 'Newton Productions', 'NBI Productions']",0
My Tutor,2193,"['Crown International Pictures', 'Marimark Productions']",0
The Legend of Lobo,64871,['Walt Disney Productions'],0
The Killing of Sister George,54575,"['Palomar Pictures', 'The Associates & Aldrich Company']",0
Key Largo,11016,['Warner Bros.'],0
Jail Bait,23020,['Howco Productions Inc.'],0
It Happened Here,54195,[],0
I'll Never Forget What's'isname,139058,['Scimitar Productions'],0
For All Mankind,20423,"['Apollo Associates', 'FAM Productions']",0
Cross of Iron,10839,"['ITC Entertainment', 'Terra-Filmkunst', 'EMI Films', 'Rapid Film']",6000000
Bride of the Monster,36489,['Rolling M. Productions'],0
Born Yesterday,24481,['Columbia Pictures Corporation'],0
Birdy,11296,['TriStar Pictures'],12000000
And God Created Woman,61651,"['Vestron Pictures', 'Crow Productions']",0
Blood Feast,28172,['Friedman-Lewis Productions'],24500
"Charlie, the Lonesome Cougar",57855,[],0
Color Me Blood Red,28180,['Box Office Spectaculars'],50000
Never Cry Wolf,14280,['Walt Disney Productions'],0
The Night Visitor,72086,"['Hemisphere Pictures', 'Glazier']",0
The Perils of Pauline,149687,['Paramount Pictures'],0
A Raisin in the Sun,29478,['Columbia Pictures Corporation'],1500000
Two Thousand Maniacs!,28177,"['Friedman-Lewis Productions', 'Jacqueline Kay']",65000
Brown's Requiem,64166,[],0
The Closer You Get,73642,[],0
Mission to Mars,2067,"['Spyglass Entertainment', 'The Jacobson Company', 'Touchstone Pictures', 'Red Horizon Productions']",90000000
The Ninth Gate,622,"['Bac Films', 'Kino Vision', 'Orly Films', 'R.P. Productions', 'V??a Digital', 'Artisan Entertainment', 'Origen Producciones Cinematograficas S.A.', 'TF1 Films Production', 'Canal+', 'Canal+ Espa?ña']",38000000
Condo Painting,110666,[],0
East/West,28463,[],0
Defending Your Life,12186,"['Geffen Pictures', 'Warner Bros.']",0
Breaking Away,20283,['Twentieth Century Fox Film Corporation'],2300000
Hoosiers,5693,"['Orion Pictures', 'De Haven Productions']",9000000
Bull Durham,287,"['Orion Pictures', 'The Mount Company']",7000000
Dog Day Afternoon,968,"['Artists Entertainment Complex', 'Warner Bros.']",1800000
American Graffiti,838,"['Lucasfilm', 'Universal Pictures', 'The Coppola Company']",777000
The Asphalt Jungle,16958,['Metro-Goldwyn-Mayer (MGM)'],0
The Searchers,3114,"['C.V. Whitney Pictures', 'Warner Bros.']",3750000
The Devil's Brigade,31938,['Wolper Pictures'],0
The Big Country,12501,['United Artists'],0
Any Number Can Win,22650,"['Compagnia Cinematografica Mondiale (CCM)', 'Cit?? Films', 'Compagnie Internationale de Productions Cin??matographiques (CIPRA)']",0
Betrayed,31618,"['United Artists', 'Winkler Films', 'CST Telecommunications']",19000000
Bound for Glory,42232,['United Artists'],0
The Bridge at Remagen,15873,['Wolper Pictures'],0
Buck and the Preacher,26928,"['Columbia Pictures Corporation', 'E & R Productions Corp.', 'Belafonte Enterprises']",0
Daughters of the Dust,68427,"['American Playhouse', 'WMG Film', 'Geechee Girls']",800000
Destination Moon,25392,['George Pal Productions'],0
The Fantastic Night,67455,[],0
Hangmen Also Die!,22178,"['United Artists', 'Arnold Pressburger Films']",0
The Ogre,48213,"['Renn Productions', 'Studio Babelsberg', 'Canal+', 'Westdeutscher Rundfunk (WDR)', 'Recorded Picture Company (RPC)', 'Universum Film (UFA)', 'France 2 Cin??ma', 'H??ritage Films']",0
On the Beach,35412,['Stanley Kramer Productions'],0
Railroaded!,43463,['PRC'],0
Slaves to the Underground,59939,[],0
Song of Freedom,159727,"['British Lion Films', 'Hammer Film Productions']",0
Big Fella,244151,[],0
The Taking of Pelham One Two Three,8333,"['Palladium Productions', 'Palomar Pictures']",0
Volunteers,19259,['TriStar Pictures'],0
JFK,820,"['Camelot Productions', 'Canal Plus Group', 'Ixtlan Productions', 'Warner Bros.']",40000000
Who's Harry Crumb?,11718,"['TriStar Pictures', 'Frostbacks', 'NBC Productions', 'Arnon Milchan Productions']",0
Harry and the Hendersons,8989,"['Universal Pictures', 'Amblin Entertainment']",0
Let's Get Harry,32031,['TriStar Pictures'],0
Shanghai Surprise,58048,"['HandMade Films', 'Vista Organisation, The']",17000000
Who's That Girl,26827,"['The Guber-Peters Company', 'Warner Bros.']",0
She-Devil,11157,['Orion Pictures'],0
Date With an Angel,28370,['De Laurentiis Entertainment Group (DEG)'],0
Blind Date,918,"['Permut Presentations', 'TriStar Pictures', 'Blake Edwards Entertainment', 'Delphi V Productions', 'ML Delphi Premier Productions']",18000000
Nadine,61178,['TriStar Pictures'],12000000
The Muppet Movie,11176,"['Incorporated Television Company', 'Henson Associates (HA)']",0
The Great Muppet Caper,14900,"['Incorporated Television Company (ITC)', 'Henson Associates (HA)']",0
The Muppets Take Manhattan,11899,"['TriStar Pictures', 'Jim Henson Company, The', 'Delphi II Productions']",8000000
Sesame Street Presents Follow That Bird,36536,"['Warner Bros.', 'Henson Associates (HA)', ""Children's Television Workshop (CTW)""]",0
We're Back! A Dinosaur's Story,18890,"['Universal Studios', 'Amblin Entertainment', 'Amblimation']",0
Baby: Secret of the Lost Legend,19736,['Touchstone Pictures'],0
Turtle Diary,123047,"['British Lion Film Corporation', 'Samuel Goldwyn Company', 'United British Artists (UBA)', 'CBS Theatrical Films', 'britannic']",0
Raise the Titanic,24575,['ITC Entertainment'],0
Titanic,16535,['Twentieth Century Fox Film Corporation'],1805000
A Night to Remember,10971,['The Rank Organisation'],1680000
Captain Horatio Hornblower R.N.,23928,['Warner Bros.'],0
The Carriers Are Waiting,31336,"['Eurimages', 'K2 SA', 'Canal+', 'Radio T??l??vision Belge Francophone (RTBF)', 'T??l??vision Suisse-Romande (TSR)', ""Centre du Cin??ma et de l'Audiovisuel de la F??d??ration Wallonie-Bruxelles"", 'Centre National de la Cin??matographie (CNC)', 'Office F??d??ral de la Culture', 'CAB Productions', 'K-Star']",0
Erin Brockovich,462,['Jersey Films'],52000000
Final Destination,9532,"['New Line Cinema', 'Zide-Perry Productions', 'Hard Eight Pictures']",23000000
Soft Fruit,117259,[],0
Babymother,78231,"['Channel Four Films', 'Arts Council of England']",0
The Bear,2383,"['Renn Productions', 'Price']",0
Impact,25503,"['United Artists', 'Cardinal Pictures (II)']",0
Love Is a Many-Splendored Thing,53879,['Twentieth Century Fox Film Corporation'],0
Mirror,1396,['Mosfilm'],0
The Crimson Pirate,11570,['Hecht-Lancaster Productions'],1850000
Thelma & Louise,1541,"['Path?? Entertainment', 'Metro-Goldwyn-Mayer (MGM)', 'Star Partners III Ltd.']",16000000
Something For Everyone,150043,[],0
...And Justice for All,17443,['Columbia Pictures Corporation'],0
Animal House,8469,"['Universal Pictures', 'Oregon Film Factory', 'Stage III Productions']",2700000
She's Gotta Have It,27995,['40 Acres & A Mule Filmworks'],0
School Daze,36739,"['Columbia Pictures', '40 Acres & A Mule Filmworks']",0
Do the Right Thing,925,"['Universal Pictures', '40 Acres & A Mule Filmworks']",6500000
Mo' Better Blues,41823,"['Universal Pictures', '40 Acres & A Mule Filmworks']",10000000
Jungle Fever,1713,"['Universal Pictures', '40 Acres & A Mule Filmworks']",14000000
Coogan's Bluff,26170,"['Universal Pictures', 'Malpaso Productions']",0
The Champ,30547,['Metro-Goldwyn-Mayer (MGM)'],0
Creature Comforts,54825,"['Channel Four Films', 'Aardman Animations']",500000
Death Wish,13939,['Paramount Pictures'],3000000
Death Wish 2,14373,['Cannon Films'],2000000
Death Wish 3,24873,['Cannon Group'],9000000
Death Wish 4: The Crackdown,26263,['Cannon Group'],0
Death Wish 5: The Face of Death,34746,"['21st Century Film Corporation', 'Death Wish 5 Productions']",5000000
Double Indemnity,996,['Paramount Pictures'],927262
Dying Young,9079,['Twentieth Century Fox Film Corporation'],0
Cool as Ice,1496,"['Universal Pictures', 'Alive Films', 'Koppelmann/Bandier-Carnegie Pictures', 'Capella']",6000000
Teenage Mutant Ninja Turtles,1498,"['New Line Cinema', 'Golden Harvest Company']",13500000
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1497,"['New Line Cinema', 'Golden Harvest Company']",25000000
Teenage Mutant Ninja Turtles III,1499,"['New Line Cinema', 'Golden Harvest Pictures', 'Clearwater Holdings Limited']",21000000
Red Dawn,1880,"['United Artists', 'Valkyrie Films']",4200000
Band of the Hand,33762,"['Delphi V Productions', 'Michael Mann Productions']",8700000
Born American,103960,[],0
Bloodsport,11690,['Cannon Films'],1500000
Eyes of Laura Mars,29143,['Columbia Pictures Corporation'],7000000
Funny Bones,35292,['Hollywood Pictures'],0
The Good Earth,36652,['Metro-Goldwyn-Mayer (MGM)'],0
"Good Morning, Vietnam",801,"['Silver Screen Partners III', 'Touchstone Pictures']",13000000
The Good Mother,104301,['Touchstone Pictures'],0
Grumpy Old Men,11520,"['Warner Bros.', 'Lancaster Gate', 'John Davis']",0
Guess Who's Coming to Dinner,1879,['Stanley Kramer Productions'],4000000
Romeo Must Die,2085,"['Silver Pictures', 'Warner Bros.']",25000000
Here On Earth,13539,"['Fox 2000 Pictures', 'Friendly Productions']",0
Whatever It Takes,16222,['Columbia Pictures Corporation'],15000000
Buddy Boy,109479,[],0
The Color of Paradise,17078,['Varahonar Company'],0
Waking the Dead,37722,"['Egg Pictures', 'PolyGram Filmed Entertainment', 'Gramercy Pictures (I)']",8500000
Blood and Sand,75892,['Twentieth Century Fox Film Corporation'],0
Gothic,33516,[],0
Hillbillys in a Haunted House,99008,['Woolner Brothers Pictures Inc.'],0
Lord of the Flies,9960,['Two Arts Ltd.'],250000
Modern Times,3082,"['United Artists', 'Charles Chaplin Productions']",1
National Lampoon's Last Resort,49338,[],0
Solar Crisis,2102,['Japan America Picture Company'],55000000
That's Life!,52961,['Blake Edwards'],0
Heart and Souls,12187,"['Universal Pictures', 'Stampede Entertainment', 'Alphaville Films']",0
Hud,24748,['Paramount Pictures'],2500000
The Hustler,990,"['Twentieth Century Fox Film Corporation', 'Rossen Films']",2000000
Inherit the Wind,1908,['Stanley Kramer Productions'],0
Dersu Uzala,9764,"['Daiei Studios', 'Mosfilm', 'Atelier 41']",4000000
Close Encounters of the Third Kind,840,"['Columbia Pictures Corporation', 'EMI Films', 'Julia Phillips and Michael Phillips Productions']",20000000
The City of the Dead,39890,['Vulcan Productions Inc.'],0
Jonah Who Will Be 25 in the Year 2000,42237,[],0
Retroactive,26689,"['Orion Pictures', 'Cohiba Pictures']",0
A Place in the Sun,25673,['Paramount Pictures'],0
Jacob's Ladder,2291,"['TriStar Pictures', 'Carolco Pictures']",25000000
Empire Records,13531,"['Monarchy Enterprises B.V.', 'Warner Bros.', 'New Regency Pictures']",0
La Bamba,16620,"['Columbia Pictures Corporation', 'New Visions Pictures']",6500000
Ladyhawke,526,"['Twentieth Century Fox Film Corporation', 'Warner Bros.']",20000000
Lucas,13346,['Twentieth Century Fox Film Corporation'],6000000
High Fidelity,243,"['Buena Vista', 'Touchstone Pictures']",30000000
The Road to El Dorado,10501,"['DreamWorks SKG', 'DreamWorks Animation']",95000000
The Skulls,11478,"['Universal Pictures', 'Original Film', 'Newmarket Capital Group', 'Cranium Films']",15000000
Autopsy,96167,[],0
Devil Girl from Mars,24212,['Danziger Productions Ltd.'],0
El Dorado,6644,"['Paramount Pictures', 'Laurel Productions']",4653000
The Hideous Sun Demon,41038,['Clarke-King Enterprises'],0
Hook,879,"['Amblin Entertainment', 'TriStar Pictures']",70000000
Horror Express,32613,"['Granada Films', 'Benmar Productions']",300000
My Chauffeur,39406,['Marimark'],0
The Son of the Sheik,85689,['Feature Productions'],0
Torso,31624,['Compagnia Cinematografica Champion'],0
True Grit,17529,['Paramount Pictures'],0
Roadside Prophets,40841,"['New Line Cinema', 'Swinson-Starkey Productions']",0
Madame Sousatzka,118098,"['Universal Pictures', 'Cineplex-Odeon Films']",0
Max Dugan Returns,1793,['Twentieth Century Fox Film Corporation'],0
Midnight Express,11327,"['Columbia Pictures', 'Casablanca Filmworks']",2300000
Misery,1700,"['Columbia Pictures', 'Castle Rock Entertainment', 'Nelson Entertainment']",20000000
Mr. Saturday Night,54087,"['Columbia Pictures', 'New Line Cinema', 'Castle Rock Entertainment']",43000000
Murphy's Romance,34322,['Columbia Pictures'],13000000
My Life,41659,"['Columbia Pictures Corporation', 'Zucker Brothers Productions', 'Capella Films']",0
Solaris,593,"['Mosfilm', 'Creative Unit of Writers & Cinema Workers', 'Unit Four']",0
Network,10774,"['United Artists', 'Metro-Goldwyn-Mayer (MGM)']",3800000
No Way Out,10083,['Orion Pictures'],15000000
North Dallas Forty,29786,"['Paramount Pictures', 'Frank Yablans Presentations', 'Regina Associates']",0
The Odd Couple,11356,['Paramount Pictures'],0
The Outlaw Josey Wales,10747,"['Warner Bros.', 'Malpaso Company']",3700000
Black and White,38809,"['Bigel / Mailer Films', 'Palm Pictures']",10000000
Frequency,10559,['New Line Cinema'],31000000
Ready to Rumble,20697,"['Bel Air Entertainment', 'Warner Bros.']",24000000
Return to Me,2621,"['Metro-Goldwyn-Mayer (MGM)', 'JLT Productions']",24000000
Rules of Engagement,10479,"['Paramount Pictures', 'Seven Arts Pictures', 'Munich Film Partners & Company (MFP) ROE Production']",60000000
Joe Gould's Secret,125709,[],0
Me Myself I,49721,"['Gaumont', 'Australian Film Finance Corporation (AFFC)', 'Gaumont Production']",0
"Bell, Book and Candle",2006,['Julian Blaustein Productions'],0
The Bells,184885,['Chadwick Pictures Corporation'],0
The End of Violence,46625,"['Kintop Pictures', 'CiBy 2000', 'Metro-Goldwyn-Mayer (MGM)', 'Road Movies Filmproduktion']",5000000
Force 10 from Navarone,17339,['Columbia Pictures Corporation'],5000000
How to Stuff a Wild Bikini,26879,[],0
Mystery Train,11305,"['JVC Entertainment Networks', 'Mystery Train']",2800000
Sacco & Vanzetti,48211,"['Unidis', 'Jolly Film', 'Theatre Le Rex S.A.']",0
Taffin,28975,['Metro-Goldwyn-Mayer (MGM)'],0
Arthur,13665,['Orion Pictures'],7000000
Bachelor Party,12309,"['Bachelor Party Productions', 'Aspect Ratio Film', 'Twin Continental']",6000000
Parenthood,1552,"['Imagine Entertainment', 'Universal Pictures']",0
Predator,106,"['Twentieth Century Fox Film Corporation', 'Lawrence Gordon Productions', 'Davis Entertainment', 'Silver Pictures', 'Amercent Films', 'American Entertainment Partners L.P.']",18000000
The Prince of Tides,10333,['Columbia Pictures'],30000000
The Postman Always Rings Twice,11027,"['Lorimar Film Entertainment', 'CIP Filmproduktion GmbH', 'Northstar International']",12000000
Smoking / No Smoking,61560,[],0
All the Vermeers in New York,123757,[],0
An Actor's Revenge,27197,['Daiei Studios'],0
28 Days,10468,['Columbia Pictures'],43000000
American Psycho,1359,"['Lions Gate Films', 'Edward R. Pressman Film', 'Muse Productions']",7000000
Keeping the Faith,4967,"['Spyglass Entertainment', 'Touchstone Pictures', 'Triple Threat Talent']",30000000
Where the Money is,31776,"['Gramercy Pictures', 'Intermedia Films', 'PolyGram Filmed Entertainment', 'Scott Free Productions', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG']",0
East Is East,10557,"['BBC', 'Assassin Films', 'Film4']",3800000
The Filth and the Fury,27745,"['Film4', 'Nitrate Film']",0
Passion of Mind,19214,[],0
Third World Cop,46686,"['Palm Pictures', ""Hawk's Nest Productions""]",0
Coming Apart,71402,['Kaleidoscope Films'],0
Diner,13776,['Metro-Goldwyn-Mayer (MGM)'],0
Shakes the Clown,26291,['IRS Media'],1400000
Cabaret,10784,"['ABC Pictures', 'Bavaria Film', 'Allied Artists Pictures']",6000000
What Ever Happened to Baby Jane?,10242,"['Seven Arts Productions', 'Warner Bros.', 'Associates & Aldrich Company, The']",980000
Prick Up Your Ears,27857,['civilhand'],0
Auntie Mame,16347,['Warner Bros.'],0
Guys and Dolls,4825,"['Samuel Goldwyn Company, The']",5500000
The Hunger,11654,"['Metro-Goldwyn-Mayer (MGM)', 'Peerford Ltd.']",0
Marathon Man,10518,['Paramount Pictures'],6500000
Caddyshack,11977,"['Orion Pictures', 'Warner Bros.']",6000000
Gossip,18041,"['Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros.', 'Outlaw Productions (I)']",14000000
Love & Basketball,14736,['40 Acres & A Mule Filmworks'],20000000
U-571,3536,"['Universal Pictures', 'Canal Plus', 'Dino De Laurentiis Company']",62000000
The Virgin Suicides,1443,['American Zoetrope'],6000000
Jennifer Eight,10424,['Paramount Pictures'],20000000
The Law,80677,"['Titanus', 'Cit?? Films', 'Le Groupe des Quatre']",0
Limelight,28971,['Celebrated Productions'],0
Empire of Passion,49096,"['Toho-Towa', 'Argos Films', 'Oshima Productions']",0
Stacy's Knights,310431,"['Crown International Pictures', 'American Twist']",0
Committed,40562,['Miramax Films'],3000000
The Crow: Salvation,9456,"['Jeff Most Productions', 'Edward R. Pressman Film', 'IMF Internationale Medien und Film GmbH & Co. Produktions KG']",10000000
The Flintstones in Viva Rock Vegas,889,"['Universal Pictures', 'Amblin Entertainment']",83000000
Where the Heart Is,10564,"['Twentieth Century Fox Film Corporation', 'Wind Dancer Films']",15000000
The Big Kahuna,15723,"['Franchise Pictures', 'Trigger Street Productions']",7000000
Bossa Nova,19600,[],0
Smiling Fish & Goat On Fire,125537,[],0
The Idiots,452,"['Zentropa Entertainments', 'DR TV']",2500000
The Last September,68170,[],0
Timecode,36234,"['Screen Gems', 'Red Mullet Productions']",4000000
Carnosaur,39283,['New Horizon Picture Corp.'],1000000
Carnosaur 2,65460,['New Horizons Picture'],0
Carnosaur 3: Primal Species,55667,[],0
Defying Gravity,31978,['Boom Pictures Inc.'],0
The Hidden,12476,"['New Line Cinema', 'Heron Communications', 'Third Elm Street Venture', 'Mega Entertainment']",0
Two Moon Junction,5241,"['DDM Film Corporation', 'Lorimar Motion Pictures']",0
Gladiator,98,"['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']",103000000
I Dreamed of Africa,21311,['Columbia Pictures'],34000000
Up at the Villa,47724,[],0
Human Traffic,11129,"['Irish Screen', 'Fruit Salad Films']",600000
"Jails, Hospitals & Hip-Hop",94214,[],0
Black Tights,117781,['Doperfilme'],0
Breathless,1058,"['Orion Pictures', 'Breathless Associates', 'Miko Productions']",0
The Great Locomotive Chase,37112,['Walt Disney Productions'],0
The Idolmaker,42159,[],0
Inferno,16395,['Produzioni Intersound'],3000000
The King of Marvin Gardens,50627,"['The Criterion Collection', 'BBS Productions']",0
"The Nibelungs, Tale 1: Siegfried",5608,"['Avala Film', 'Central Cinema Company Film (CCC)']",0
The Lords of Flatbush,38925,['Columbia Pictures'],160000
Mr. Mom,13105,"['Twentieth Century Fox Film Corporation', 'Aaron Spelling Productions', 'Sherwood Productions']",0
Time Masters,22501,"['British Broadcasting Corporation (BBC)', 'TF1 Films Production', 'Hungarofilm', 'Westdeutscher Rundfunk (WDR)', 'T??l??cip', 'S?¬dwestfunk (SWF)', 'Pann??nia Filmst?§di??', 'Soci??t?? Suisse de Radiodiffusion et T??l??vision (SSR)']",0
Battlefield Earth,5491,"['Franchise Pictures', 'Warner Bros.', 'JTP Films', 'Morgan Creek Productions', 'Battlefield Productions']",44000000
Center Stage,10560,['Columbia Pictures'],18000000
Held Up,19489,[],0
Screwed,19419,"['Universal Pictures', 'Robert Simonds Productions']",0
Whipped,23531,['Hi-Rez Films'],3000000
Hamlet,10688,"['Miramax Films', 'double A Films']",2000000
Anchors Aweigh,17889,['Metro-Goldwyn-Mayer (MGM)'],0
Blue Hawaii,18228,"['Paramount Pictures', 'Hal Wallis Productions']",0
The Castaway Cowboy,80351,"['Walt Disney Production', 'Walt Disney Home Video', 'Walt Disney Company']",0
G.I. Blues,18642,"['Paramount Pictures', 'Hal Wallis Productions']",0
The Gay Deceivers,205054,['Fanfare Films'],0
Gypsy,39391,['Warner Bros.'],0
King Creole,18644,"['Paramount Pictures', 'Hal Wallis Productions']",0
On the Town,31516,['Metro-Goldwyn-Mayer (MGM)'],2111250
One Little Indian,45827,['Walt Disney Productions'],0
Pee-wee's Big Adventure,5683,"['Aspen Film Society', 'Warner Bros.']",6000000
Regret to Inform,113279,[],0
Roustabout,2094,"['Paramount Pictures', 'Hal Wallis Productions']",0
Saludos Amigos,14906,"['RKO Radio Pictures', 'Walt Disney Productions']",0
The Slipper and the Rose,16176,['Paradine Co-Productions'],0
Things Change,52770,['Columbia Pictures'],0
Honeymoon in Vegas,12518,"['Columbia Pictures', 'New Line Cinema', 'Castle Rock Entertainment']",25000000
Dinosaur,10567,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",127500000
Loser,10642,['Columbia Pictures'],0
Road Trip,9285,"['DreamWorks SKG', 'The Montecito Picture Company']",16000000
Small Time Crooks,10569,['DreamWorks SKG'],0
The Hollywood Knights,21879,"['PolyGram Filmed Entertainment', 'Casablanca Filmworks']",2500000
The Myth Of Fingerprints,98502,"['Eureka Pictures', 'Good Machine']",2000000
Possession,21484,"['Gaumont', 'Oliane Productions', 'Marianne Productions']",0
The Twelve Chairs,24918,"['Crossbow Productions', 'The Twelve Chairs Company']",0
Mission: Impossible II,955,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']",125000000
Shanghai Noon,8584,"['Spyglass Entertainment', 'Roger Birnbaum Productions', 'Touchstone Pictures']",55000000
Better Living Through Circuitry,47295,[],0
8 ?« Women,11332,"['Delux Productions', 'Kasander & Wigman Productions', 'Woodline Productions', 'Movie Masters', 'Continent Film GmbH']",0
Carnival of Souls,16093,['Harcourt Productions'],30000
Flying Tigers,29372,[],0
The Gold Rush,962,['Charles Chaplin Productions'],923000
Lisa and the Devil,5483,"['Roxy Film', 'Leone International', 'Euro America Produzioni Cinematografiche']",1000000
It's in the Water,21060,"['Keli Herd Film Company, Inc']",0
Monsieur Verdoux,30588,['Charles Chaplin Productions'],2000000
On Her Majesty's Secret Service,668,"['United Artists', 'Eon Productions', 'Danjaq']",6500000
Seven Days in May,23518,"['Paramount Pictures', 'Seven Arts Productions', 'Joel Productions']",0
The Spy Who Loved Me,691,"['United Artists', 'Eon Productions', 'Danjaq']",14000000
Those Who Love Me Can Take the Train,31353,"['T??l??ma Productions', 'Canal+', 'France2 Cin??ma']",0
Vagabond,44018,"['Films A2', 'Minist??re de la Culture', 'Cin?? Tamaris']",0
Moonraker,698,"['United Artists', 'Eon Productions']",34000000
The Man with the Golden Gun,682,"['United Artists', 'Eon Productions', 'Danjaq']",7000000
A King in New York,28973,['Charles Chaplin Productions'],0
A Woman of Paris,28974,"['Charles Chaplin Productions', 'Regent']",0
In Old California,40685,['Republic Pictures'],0
The Fighting Seabees,22994,['Republic Pictures'],0
Dark Command,40639,['Republic Pictures (I)'],0
Cl??o from 5 to 7,499,"['Rome Paris Films', 'Cin?? Tamaris']",0
Big Momma's House,9600,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises']",30000000
Running Free,120077,[],0
The Abominable Snowman,38006,"['Clarion Films', 'Hammer Film Productions']",0
American Gigolo,2768,['Paramount Pictures'],4800000
Anguish,42002,"['Samba P.C.', 'Luna Films', 'Pepon Coromina']",0
The Blood Spattered Bride,40365,['Morgana Films'],0
City of the Living Dead,24920,"['Dania Film', 'National Cinematografica']",0
The Endless Summer,21,['Bruce Brown Films'],0
The Guns of Navarone,10911,"['Columbia Pictures', 'Highroad Productions']",6000000
La Grande Bouffe,10102,"['Films 66', 'Capitolina Produzioni Cinematografiche', 'Mara Films']",0
Lured,30308,['Hunt Stromberg Productions'],0
Pandora and the Flying Dutchman,38688,"['Romulus Films', 'Dorkay Productions']",0
Quatermass and the Pit,26912,['Hammer Film Productions'],0
Quatermass II,26278,['Hammer Film Productions'],0
Puppet Master,26953,"['Empire Pictures', 'Full Moon Entertainment']",0
Puppet Master II,26954,['Full Moon Entertainment'],780000
Puppet Master III Toulon's Revenge,26956,['Full Moon Entertainment'],800000
Puppet Master 4,26957,['Full Moon Entertainment'],0
Puppet Master 5: The Final Chapter,26958,['Full Moon Entertainment'],0
Curse of the Puppet Master,26959,['Full Moon Entertainment'],0
Retro Puppet Master,26960,['Full Moon Pictures'],0
Rent-a-Cop,80287,"['Kings Road Entertainment', 'Zealcorp Productions Limited']",0
Romeo and Juliet,6003,"['Paramount Pictures', 'Dino de Laurentiis Cinematografica', 'BHE Films', 'Verona Produzione']",0
Stay Tuned,23939,"['Warner Bros.', 'Morgan Creek Productions']",25000000
The Story of G.I. Joe,46614,"['United Artists', 'Lester Cowan Productions']",0
Blazing Saddles,11072,"['Crossbow Productions', 'Warner Bros.']",2600000
Benji,23069,[],0
Benji the Hunted,21299,['Embark Production'],0
For the Love of Benji,38802,[],0
White Christmas,13368,['Paramount Pictures'],0
Eraserhead,985,"['American Film Institute (AFI)', 'Libra Films']",10000
Baraka,14002,['Magidson Films'],4000000
The Man with the Golden Arm,541,['Carlyle Production'],0
The Decline of Western Civilization,21137,['Spheeris Films Inc.'],100000
